ACO_Num,ACO_Name,ACO_State,Agree_Type,Agreement_Period_Num,Initial_Start_Date,Initial_Track_1,Initial_Track_2,Initial_Track_3,Current_Start_Date,Current_Track_1,Current_Track_2,Current_Track_3,Adv_Pay,AIM,N_AB,Sav_rate,MinSavPerc,BnchmkMinExp,GenSaveLoss,EarnSaveLoss,Met_QPS,QualScore,Prior_Sav_Adj,UpdatedBnchmk,HistBnchmk,ABtotBnchmk,ABtotExp,Adv_Pay_Amt,Adv_Pay_Recoup,QualPerfShare,FinalShareRate,Per_Capita_Exp_ALL_ESRD_BY1,Per_Capita_Exp_ALL_DIS_BY1,Per_Capita_Exp_ALL_AGDU_BY1,Per_Capita_Exp_ALL_AGND_BY1,Per_Capita_Exp_ALL_ESRD_BY2,Per_Capita_Exp_ALL_DIS_BY2,Per_Capita_Exp_ALL_AGDU_BY2,Per_Capita_Exp_ALL_AGND_BY2,Per_Capita_Exp_ALL_ESRD_BY3,Per_Capita_Exp_ALL_DIS_BY3,Per_Capita_Exp_ALL_AGDU_BY3,Per_Capita_Exp_ALL_AGND_BY3,Per_Capita_Exp_ALL_ESRD_PY,Per_Capita_Exp_ALL_DIS_PY,Per_Capita_Exp_ALL_AGDU_PY,Per_Capita_Exp_ALL_AGND_PY,Per_Capita_Exp_TOTAL_PY,CMS_HCC_RiskScore_ESRD_BY1,CMS_HCC_RiskScore_DIS_BY1,CMS_HCC_RiskScore_AGDU_BY1,CMS_HCC_RiskScore_AGND_BY1,CMS_HCC_RiskScore_ESRD_BY2,CMS_HCC_RiskScore_DIS_BY2,CMS_HCC_RiskScore_AGDU_BY2,CMS_HCC_RiskScore_AGND_BY2,CMS_HCC_RiskScore_ESRD_BY3,CMS_HCC_RiskScore_DIS_BY3,CMS_HCC_RiskScore_AGDU_BY3,CMS_HCC_RiskScore_AGND_BY3,CMS_HCC_RiskScore_ESRD_PY,CMS_HCC_RiskScore_DIS_PY,CMS_HCC_RiskScore_AGDU_PY,CMS_HCC_RiskScore_AGND_PY,N_AB_Year_ESRD_BY3,N_AB_Year_DIS_BY3,N_AB_Year_AGED_Dual_BY3,N_AB_Year_AGED_NonDual_BY3,N_AB_Year_PY,N_AB_Year_ESRD_PY,N_AB_Year_DIS_PY,N_AB_Year_AGED_Dual_PY,N_AB_Year_AGED_NonDual_PY,N_Ben_Age_0_64,N_Ben_Age_65_74,N_Ben_Age_75_84,N_Ben_Age_85plus,N_Ben_Female,N_Ben_Male,N_Ben_Race_White,N_Ben_Race_Black,N_Ben_Race_Asian,N_Ben_Race_Hisp,N_Ben_Race_Native,N_Ben_Race_Other,CapAnn_INP_All,CapAnn_INP_S_trm,CapAnn_INP_L_trm,CapAnn_INP_Rehab,CapAnn_INP_Psych,CapAnn_HSP,CapAnn_SNF,CapAnn_INP_Other,CapAnn_OPD,CapAnn_PB,CapAnn_AmbPay,CapAnn_HHA,CapAnn_DME,ADM,ADM_S_Trm,ADM_L_Trm,ADM_Rehab,ADM_Psych,chf_adm,copd_adm,pneu_adm,readm_Rate_1000,prov_Rate_1000,P_SNF_ADM,P_EDV_Vis,P_EDV_Vis_HOSP,P_CT_VIS,P_MRI_VIS,P_EM_Total,P_EM_PCP_Vis,P_EM_SP_Vis,P_Nurse_Vis,P_FQHC_RHC_Vis,N_CAH,N_FQHC,N_RHC,N_ETA,N_Fac_Other,N_PCP,N_Spec,N_NP,N_PA,N_CNS,ACO1,ACO2,ACO3,ACO4,ACO5,ACO6,ACO7,ACO34,ACO8,ACO35,ACO36,ACO37,ACO38,ACO9,ACO10,ACO11,ACO39,ACO13,ACO14,ACO15,ACO16,ACO17,ACO18,ACO19,ACO20,ACO21,ACO42,ACO40,DM_Comp,ACO27,ACO41,ACO28,ACO30,ACO31,ACO33
A25914,"Integral Healthcare, LLC",Florida,Renewal,2,01/01/2013,1,0,0,01/01/2016,1,0,0,0,0,10412,0.08546058,0.029752751,9847658,9847658,4426987,1,0.9174,414,11409,11270,115230412,105382754,,,0.5,0.4587,70814,9690,21021,10772,78315,10341,20788,10406,70144,9636,16498,9616,75557,10164,18962,9562,10434,1.02,1.239,1.331,1.334,1.025,1.264,1.309,1.358,0.995,1.183,1.2,1.258,1.006,1.251,1.183,1.26,75,1305,494,9381,10100,61,1084,441,8515,1395,4551,3162,1304,5729,4683,9694,356,44,111,6,201,3283,2734,30,487,54,209,930,0,1099,4235,117,628,207,375,342,1,25,7,12,20,5,172,781,82,698,278,795,307,11047,3709,6160,1143,35,0,0,0,0,0,84,47,41,1,0,78.96,92.31,91.48,85.82,63.1,78.56,69.65,27.08,15.17,21.09,60,82.69,61.58,15.03,18.28,67.24,96.08,62.44,55.72,41.74,74.14,95.21,51.47,56.31,63.26,72.73,68,4.17,23.06,19.66,26.47,76.28,81.18,89.36,71.64
A02472,American Health Network of Ohio PC,Ohio,Renewal,2,01/01/2013,1,0,0,01/01/2016,1,0,0,1,0,7747,0.063971832,0.032504505,5450403,5450403,2267311,1,0.849,134,11417,11186,85200046,79749643,0,0,0.5,0.4245,108825,10720,16222,10046,111825,10723,17577,9287,100753,10105,16273,9347,109657,10599,17406,9114,10686,1.239,1.18,1.126,1.037,1.145,1.216,1.152,1.022,1.071,1.106,1.186,1.009,1.053,1.262,1.278,1.063,49,1084,531,5215,7463,55,997,568,5844,1294,3323,2064,1066,4373,3374,6899,573,67,4,4,200,3714,3261,321,147,104,416,1324,0,1964,2798,221,557,219,340,316,6,7,10,10,9,6,163,809,114,718,236,805,231,9898,5671,3316,900,10,0,0,0,0,0,48,7,23,0,0,82.36,94.82,93.25,82.57,55.04,73.96,73.96,30.1,14.11,16.3,59.59,79.29,59.88,8.36,12.61,62.5,97.92,52.32,68.91,71.55,56.73,70.03,34.77,41.9,54.56,64.01,73.4,8.7,29.9,36.6,38.32,71.46,74.68,90,63.16
A07870,"Millennium Accountable Care Organization, LLC",Florida,Renewal,2,01/01/2013,1,0,0,01/01/2016,0,0,1,0,0,38313,0.063046993,0.02,26025263,26025263,18530680,1,0.9687,263,10956,10859,412791497,386766234,,,0.75,0.7266,95212,9042,17775,9882,89100,10002,17961,9950,86697,9805,18001,9977,81627,9891,17483,9882,10265,1.12,1.199,1.123,1.155,1.09,1.132,1.109,1.152,1.154,1.11,1.114,1.135,1.07,1.189,1.048,1.161,106,1817,828,28184,37677,122,1957,745,34853,2085,17731,13140,5357,20977,17336,36537,643,112,257,24,740,2618,2315,52,218,54,268,691,0,1232,4776,97,601,257,269,249,2,12,6,8,8,6,152,824,64,557,184,927,352,12370,4996,6028,1317,29,0,0,0,0,0,129,45,67,0,0,81.12,93.39,93.44,84.68,65.29,76.3,75.38,27.45,13.95,18.64,44.4,58.85,49.39,7.41,12.66,95.41,98.89,85.9,80.35,83.01,90.98,99.35,80.14,62.02,80.6,48.62,77.73,11.76,42.93,8.72,46.22,81.51,88.93,79.08,82.94
A43641,National ACO,"California, Tennessee, Pennsylvania",Renewal,2,01/01/2013,1,0,0,01/01/2016,1,0,0,1,0,11420,-0.013313207,0.02914783,-2604132,0,0,1,0.917,200,17671,17457,195605156,198209288,0,0,0.5,0.4585,107054,14075,20998,12105,106738,14748,22906,12910,111995,14551,24207,13161,105750,15867,23836,13749,17907,1.083,1.289,1.152,1.243,1.088,1.321,1.163,1.273,1.134,1.297,1.179,1.259,1.1,1.381,1.165,1.284,160,2265,2525,6129,11069,141,2215,2813,5901,2592,4257,2836,1735,6392,5028,8597,1199,759,411,4,450,6090,5302,326,211,333,456,2410,0,2206,5255,283,1754,406,531,481,9,10,31,19,19,12,218,796,166,1049,399,937,371,15374,7469,5508,2368,29,0,0,1,0,1,69,33,27,2,0,80.8,91.19,89.72,83.88,58.72,75.23,71.3,35.66,15.56,18.35,68.61,88.16,72.69,10.78,13.31,37.29,100,85.5,88.98,74.75,89.16,93.74,82.21,77.06,70.46,90.46,89.14,37.93,48.38,26.67,66.5,71.43,94.67,100,99.59
A51491,Billings Clinic,"Montana, Wyoming",Renewal,2,01/01/2013,1,0,0,01/01/2016,1,0,0,0,0,11723,0.0238501,0.028965993,2690390,0,0,1,0.9441,0,9906,9885,112804151,110113761,,,0.5,0.4721,66603,10122,11013,8270,66537,10949,11882,8512,63887,10627,11824,8996,66776,10804,13377,8991,9670,1.01,1.094,1.079,1.011,1.003,1.122,1.078,1.049,0.998,1.21,1.11,1.096,0.983,1.174,1.066,1.095,55,1243,595,9709,11387,50,1218,605,9515,1588,5376,3190,1569,6674,5049,11120,35,20,35,265,248,3205,3062,93,35,28,196,611,0,3256,2090,87,164,272,287,282,2,2,1,10,9,7,142,798,61,678,166,700,241,7844,2785,3052,1968,39,0,0,0,0,3,101,224,42,1,0,76.82,91.89,90.8,80.5,57.55,75.28,73.25,25.1,14.24,15.89,38.92,58.29,48.07,7.87,8,85.94,94.61,95.62,98.54,92.34,90.73,94.38,91.13,76.31,76.69,62.1,79.92,1.96,58.06,11.69,62.9,66.54,87.55,96.26,78.9
A05696,"KCMPA-ACO, LLC","Kansas, Missouri",Renewal,2,01/01/2013,1,0,0,01/01/2016,1,0,0,1,0,11298,0.074939574,0.029221044,8393710,8393710,3858074,1,0.938,0,10166,10220,112006372,103612663,2394520,2394520,0.5,0.469,80990,10763,20810,8010,88423,10853,21159,8325,81744,11508,20381,8337,60174,12200,20034,8141,9404,1.008,1.193,1.153,1.004,1.033,1.218,1.154,1.022,1.048,1.217,1.24,1.051,1.054,1.272,1.239,1.069,101,1431,450,9650,11018,82,1274,377,9285,1694,5374,2956,1274,6483,4815,10009,870,105,68,20,226,3106,2565,102,405,59,260,532,4,1869,2946,87,442,279,348,313,3,23,8,12,8,7,166,799,56,669,236,708,261,9024,4645,3598,765,16,0,0,0,0,3,59,27,25,0,0,76.54,92.11,91.69,82.19,60.7,76.51,71.39,33.97,14.4,17.58,50.55,74.64,61.81,7.69,16.96,98.11,32.26,68.85,59.84,89.56,53.67,74.06,69.44,70.92,69.66,94.44,76.61,N/A,24.39,14.21,26.14,69.18,84.52,87.07,80.25
A54437,Integrated ACO LLC,Texas,Renewal,2,01/01/2013,1,0,0,01/01/2016,1,0,0,1,0,8748,0.032782982,0.031251251,2978172,2978172,1222234,1,0.8375,312,10694,10696,90845050,87866878,0,0,0.5,0.4188,73551,9535,15093,8391,72496,9094,14808,8319,71247,9197,14499,8821,71572,10116,14751,8634,10344,1.036,1.126,1.04,1.053,1.044,1.126,0.989,1.051,0.999,1.098,1.014,1.057,1.051,1.121,0.965,1.05,112,1158,1197,7075,8495,108,1032,1013,6342,1357,3858,2444,1089,4984,3764,7225,589,105,597,14,218,3370,2658,140,569,34,221,755,7,1796,3240,140,915,221,338,296,5,32,5,13,12,9,164,736,59,734,196,718,277,10014,4212,4270,474,1058,0,0,5,0,0,33,2,14,1,0,78.95,92.96,91.84,83.74,58.06,75.82,68.34,36.4,14.38,18.93,59.84,74.2,61.92,10.91,11.18,63.16,97.55,27.49,41.48,39.29,68.8,93.95,17.61,25.8,47.19,63.6,69.68,0,13.7,20.55,18.15,70.85,69.25,89.29,81.55
A00934,HHC ACO Inc,New York,Renewal,2,01/01/2013,1,0,0,01/01/2016,1,0,0,0,0,10042,0.042049695,0.029974795,3592166,3592166,1586859,1,0.9015,315,8700,8708,85426675,81834510,,,0.5,0.4508,71861,7551,7638,5105,77545,7805,7444,5141,73409,7489,7471,5317,70961,8149,7240,5424,8334,0.967,1.008,0.826,0.977,0.969,1.001,0.802,0.954,0.963,0.988,0.81,0.959,0.945,0.965,0.785,0.953,224,3090,4848,3029,9819,214,2551,4193,2861,2914,4038,2240,850,5911,4131,3097,4195,554,1412,34,750,3631,2936,41,150,526,114,173,0,2602,1448,133,309,112,321,285,1,7,29,15,16,6,190,398,12,859,251,315,119,7750,3120,4203,257,170,0,18,0,8,33,589,1498,83,4,0,64.76,87.51,89.75,77.14,59.13,70.47,66.31,15.97,15.82,18.13,55.24,87.71,71.26,18.86,20.87,100,52.25,69.69,77.78,83.66,78.85,96.44,83.98,66.26,73.82,87.93,84.31,12.31,47.23,16.91,55.1,69.91,90.75,95.45,90.35
A22020,Good Help ACO,"Virginia, South Carolina, New York, Kentucky, Ohio, Pennsylvania",Renewal,2,01/01/2013,1,0,0,01/01/2016,1,0,0,0,0,74386,0.000143749,0.02,99792,0,0,1,0.9787,0,9593,9516,694209251,694109458,,,0.5,0.4894,67742,8601,14826,8037,72938,9190,14587,8118,72587,9327,15838,8205,74092,9358,15521,8491,9592,0.98,1.075,1.081,1.019,0.97,1.088,1.079,1.028,1.001,1.11,1.1,1.031,1.015,1.103,1.096,1.023,694,9581,3352,57603,72366,734,9262,3334,59036,12171,34458,19494,8263,43271,31115,59850,12128,526,254,32,1596,2931,2600,66,233,68,194,602,0,2273,3052,152,432,232,293,271,2,12,8,11,10,7,166,790,56,751,206,706,261,10124,4192,4811,1041,81,0,0,4,0,34,525,666,317,4,1,79.62,93.46,92.96,83.56,60.74,76.06,73.27,29.41,14.19,18.3,47.93,72.06,56.62,8.15,12.6,96.29,93.26,87.52,74.91,79.69,70.43,93.9,75.38,60.55,70.48,72.38,78.55,0,52.17,11.86,56.92,69.52,91.47,90.61,90.74
A78337,Rainier Health Network,Washington,Renewal,2,01/01/2013,1,0,0,01/01/2016,1,0,0,0,0,42846,-0.005201712,0.022715324,-1994450,0,0,1,0.8717,13,9173,9007,383421913,385416363,,,0.5,0.4359,75610,8359,11217,8438,75148,7998,10239,8408,69441,7742,8746,8419,75074,8609,9056,8767,9221,1.042,1,0.848,1.036,0.98,0.981,0.809,1.03,0.966,0.94,0.768,1.015,0.986,0.947,0.741,1.023,272,4176,2067,34210,41798,287,4107,2039,35366,5508,20559,11963,4816,24071,18775,37602,1205,1727,178,266,1868,2810,2653,17,89,59,216,584,0,2179,3046,94,300,194,234,227,0,4,3,12,4,4,143,782,45,664,161,747,252,8671,3609,3740,1298,24,2,0,1,0,17,373,887,218,3,0,75.39,92.3,90.2,79.08,55.46,75.67,70.08,26.47,13,14.19,38.13,58.53,46.87,4.95,15.51,87.16,89.09,34.5,68.3,56.15,63.79,94.03,17.32,47.37,59.97,71.83,72.34,0,29.12,14.56,32.06,68.13,85.9,89.25,79.08
A42284,"American Health Alliance, LLC",Florida,Renewal,2,01/01/2013,1,0,0,01/01/2016,1,0,0,1,0,6106,0.059980047,0.035787788,3548725,3548725,1655958,1,0.9523,242,9876,9651,59165092,55616367,0,0,0.5,0.4762,85067,9241,14035,8187,103111,9364,11237,8420,61882,8191,11718,8652,82573,9070,11747,8874,9284,1.041,1.122,0.978,1.062,1.155,1.221,0.952,1.093,0.997,1.136,1.063,1.147,1.037,1.187,1.027,1.157,23,336,133,5427,5991,27,331,131,5502,475,2826,2151,654,3430,2676,5681,231,38,31,6,119,2335,2075,58,191,23,107,260,0,989,4980,68,420,248,263,247,2,12,4,10,6,8,143,819,32,492,174,773,278,13160,6617,5687,829,27,0,0,0,0,0,15,0,2,0,0,78.04,90.8,89.91,83.15,60.97,75.32,75.63,22.44,14.29,17.87,42.83,58.91,48.72,5.09,14,58.33,99.76,93.29,82.21,74.32,92.67,96.99,63.45,79.12,82.31,98.41,78.97,13.04,74.91,7.42,80.21,84.7,93.31,90.83,86.85
A87771,Indiana Care Organization LLC,Indiana,Renewal,2,01/01/2013,1,0,0,01/01/2016,1,0,0,0,0,9218,-0.042285253,0.030781782,-3729077,0,0,1,0.9248,48,9875,9637,88188587,91917663,,,0.5,0.4624,82285,8424,16049,8343,78097,9348,14957,8076,70220,8718,18268,8468,68930,10331,19094,8999,10293,0.99,1.117,1.003,1.038,1.008,1.129,0.999,1.037,0.996,1.107,1.024,1.027,1.012,1.126,1.11,1.034,62,1008,612,7376,8930,65,980,629,7256,1270,4019,2635,1294,5267,3951,8869,112,40,5,7,185,3165,2882,80,169,81,471,1233,0,1937,3125,46,335,213,273,255,2,10,6,9,7,6,138,783,110,688,171,807,233,9137,3085,4324,1493,235,0,0,1,0,0,20,26,16,0,0,75.51,91.82,90.41,81.71,52.52,75.93,72.06,32.26,13.45,14.93,42.2,59.55,50.04,6.55,11.09,100,86.87,62.68,64.74,70.87,63.91,97.87,41.24,77.89,60.07,69.16,83.61,0,30.1,10.54,31.97,71.03,75.13,100,73.63
A22066,"Qualuable Medical Professionals, LLC","Tennessee, Virginia",Renewal,2,01/01/2013,1,0,0,01/01/2016,1,0,0,0,0,23929,0.051068061,0.024607087,9870486,9870486,4753066,1,0.9827,285,8274,8264,193280995,183410509,,,0.5,0.4914,61032,6669,11426,6562,66345,7061,11566,6857,63497,7217,11988,7232,67238,7586,12268,7210,7852,0.983,0.994,1.003,1.004,0.998,1.032,1.001,1.022,1.001,1.047,1.098,1.075,0.973,1.083,1.083,1.056,111,3613,1438,17778,23359,113,3382,1367,18496,4280,11388,5949,2312,13956,9973,23230,340,60,14,7,278,2347,1967,37,324,31,139,480,0,1385,2806,125,460,295,307,281,1,20,5,10,12,11,175,831,52,667,205,695,217,10127,4852,3269,1992,14,0,0,0,0,0,300,317,163,4,0,84.61,92.85,92.85,85.03,61.8,77.76,72.21,28.74,15.06,17.34,54.58,72.91,59.84,9.42,13.15,93.1,92.16,96.72,94.53,90.39,97.04,98.37,86.96,81.57,85.69,95.33,85.21,6,62.42,9.06,66.44,77.56,93.29,87.74,93.62
A92374,Franciscan Union ACO,"Indiana, Illinois",Renewal,2,01/01/2013,1,0,0,01/01/2016,1,0,0,0,0,15256,0.005596336,0.02689758,885732,0,0,1,0.9318,0,10667,10649,158269986,157384254,,,0.5,0.4659,82245,9764,19027,8924,79642,10467,17708,9122,72894,10329,15846,9270,80311,10410,15811,9421,10607,1.091,1.22,1.166,1.162,1.04,1.201,1.104,1.135,1.061,1.182,1.09,1.138,1.056,1.145,1.117,1.131,129,2488,1084,11561,14838,126,2296,1002,11415,2843,6626,3993,1794,8811,6445,14718,300,38,9,7,184,3244,2985,25,187,63,222,863,0,2967,2673,115,445,324,344,325,1,10,8,17,23,11,175,812,80,764,222,887,226,9878,3012,4927,1236,703,1,5,3,0,3,88,119,57,0,0,83.87,94.59,94.29,86.21,58.1,74.25,71.48,35.69,14.54,18.02,54.28,76.76,62.31,13.71,14.5,72.09,56.64,58.94,67.52,72.58,66.53,97.58,51.82,67.74,66.13,90.57,87.44,25,43.95,20.97,49.6,77.42,93.55,99.19,87.58
A34443,Central Florida Physicians Trust,Florida,Renewal,2,01/01/2013,1,0,0,01/01/2016,1,0,0,1,0,8962,0.064438923,0.031037037,6751212,6751212,3204763,1,0.9688,245,12039,12085,104769170,98017958,0,0,0.5,0.4844,82018,11377,19508,9636,84954,11740,24383,10236,78321,10951,21821,10383,85324,10206,18839,10137,11263,1.023,1.211,1.187,1.132,1.003,1.228,1.321,1.159,1.027,1.192,1.25,1.147,1.057,1.14,1.199,1.146,83,953,449,7077,8703,81,899,423,7300,1227,4272,2375,1088,5071,3891,7875,575,69,197,1,245,3290,2987,72,221,40,331,1035,0,1552,4252,84,694,247,344,324,2,12,6,11,12,6,199,806,91,638,253,857,395,13118,6196,5874,1042,5,0,0,0,0,0,48,2,10,0,0,80.67,92.79,91.6,85.37,66.16,77.19,69.77,30.71,16.09,19.1,56.51,76.91,59,11.09,12.05,75,97.68,89.86,81.13,74.7,90.69,98.21,81.61,70.42,74.4,79.42,83.5,41.94,49.11,12.28,54.63,84.62,83.38,86.87,88.69
A11103,Amarillo Legacy Medical ACO,Texas,Renewal,2,01/01/2013,1,0,0,01/01/2016,1,0,0,0,0,17313,-0.011473241,0.026074615,-1606774,0,0,1,0.9322,0,8293,8176,140045344,141652118,,,0.5,0.4661,61777,8125,11437,7079,69967,9227,13135,7378,60247,9435,12090,7628,62590,9395,11917,7885,8388,0.946,1.109,0.948,1.008,0.989,1.143,0.938,1.013,0.941,1.116,0.968,1.02,0.96,1.17,0.943,1.019,94,1221,394,14593,16888,96,1141,370,15281,1782,8382,5344,1805,10118,7195,16350,296,100,268,51,248,2261,1849,165,212,38,154,150,13,1669,3277,73,643,278,251,226,6,13,5,8,6,7,117,719,20,488,149,872,276,10993,3943,5995,1018,38,0,0,0,0,1,102,118,83,0,0,75.9,92.93,91.7,86.12,56.3,75.52,72.75,25.37,13.32,17.7,41.64,56.04,43.96,5.84,10.9,83.93,96.59,50.16,59.93,53.01,72.85,91.22,33.22,53.95,52.53,83.91,66.49,0,30.24,17.57,35.64,66.91,87.28,90,75.26
A67733,The Premier HealthCare Network LLC,"Georgia, Maryland",Renewal,2,01/01/2013,1,0,0,01/01/2016,1,0,0,0,1,8102,0.099320665,0.031897898,9063897,9063897,4062894,1,0.9148,168,11606,11800,91258924,82195027,408864,408864,0.5,0.4574,83554,8784,15666,8206,78436,9106,15860,8202,78915,9146,14474,8328,83311,8881,13149,7468,10453,1.005,1.104,1.049,1.036,0.971,1.079,1.04,1.045,1.008,1.075,1.07,1.061,1.012,1.058,1.039,1.034,238,1682,863,5376,7863,223,1522,774,5344,1961,3459,1953,729,4646,3456,3693,4047,136,74,4,148,3108,2794,171,123,76,408,636,0,2175,3608,388,441,224,320,299,3,7,12,11,7,7,207,687,54,781,249,720,294,9688,4328,4723,629,8,0,0,0,0,0,48,36,16,0,0,77.7,92.06,90.22,86.42,60.73,70.7,70.66,28.44,14.69,20.08,54.1,73.16,57.02,7.29,15.9,48.72,99.9,62.62,64.26,65.85,85.05,90.96,60.36,58.63,57.3,86.02,72.57,0,35.11,18.32,41.6,60.83,94.49,100,90.51
A19446,"Akira Health, Inc.",California,Renewal,2,01/01/2013,1,0,0,01/01/2016,1,0,0,0,1,7672,0.013162789,0.032654655,1268520,0,0,1,0.9122,0,12866,12629,96371682,95103162,1490004,0,0.5,0.4561,112000,13123,16089,10418,119558,13397,16170,10021,110688,11810,16160,10064,122139,11518,17987,10266,12697,1.042,1.137,0.955,0.98,1.017,1.143,0.94,0.991,1.072,1.092,0.952,0.976,1.034,1.097,0.969,1,101,642,696,6059,7491,97,665,839,5890,911,3249,2263,1249,4542,3130,5922,137,570,405,15,623,4273,3994,17,244,34,374,1403,0,2120,3862,128,918,159,279,268,0,8,2,8,6,7,202,779,84,621,226,552,355,10499,4897,5449,130,24,0,0,0,0,0,26,1,0,0,0,82.01,93.81,92.18,85.46,64.77,74.81,72.61,24.3,16.4,20.8,67.03,77.75,64.04,9.12,11.39,28.57,88.72,69.9,71.13,58.16,85.94,93.83,67.08,66.61,72.74,85.22,80.62,0,27.44,19.49,30.14,86.59,70.2,93.55,78.5
A64801,"HARTFORD HEALTHCARE ACCOUNTABLE CARE ORGANIZATION, INC.",Connecticut,Renewal,2,01/01/2013,1,0,0,01/01/2016,1,0,0,0,0,23264,-0.033645696,0.024673589,-9976071,0,0,1,0.8415,36,13116,13053,296503613,306479683,,,0.5,0.4208,82477,10644,13247,8735,104183,13378,18853,11160,100595,12987,19402,11450,103186,13923,19614,11088,13557,1.031,1.137,0.998,1.029,1.131,1.255,1.08,1.107,1.085,1.238,1.096,1.105,1.058,1.228,1.113,1.101,215,2389,2996,15985,22606,235,2466,3189,16717,3192,9225,6529,4318,14128,9136,20730,1297,212,291,19,715,4394,4096,130,58,140,309,1840,0,2328,3761,253,1041,254,387,368,4,2,12,17,9,8,201,834,153,891,310,859,250,11780,3639,4959,3168,13,0,0,0,0,9,274,639,307,7,8,78.68,92.71,92.45,78.18,60.49,70.18,72.67,20.39,15.44,18.76,61.67,92.08,68.83,7.58,17.77,95.77,95.55,58.69,70.02,70.94,51.8,88.69,45.45,30.23,61.87,74.64,81.91,0,28.5,28.33,35.67,70.26,82.92,79.13,57.86
A76576,"Paradigm ACO, LLC",Florida,Renewal,2,01/01/2013,1,0,0,01/01/2016,1,0,0,0,0,8289,0.075383165,0.031710711,5955058,5955058,2803069,1,0.9606,465,9760,10257,78997190,73042132,,,0.5,0.4803,67819,11163,12041,8899,78606,8975,16398,8567,65710,8459,13527,8920,67508,8801,13570,8700,9024,1.047,1.327,0.989,1.17,1.057,1.262,0.998,1.181,1.034,1.17,1.115,1.25,1.052,1.186,1.15,1.181,25,332,94,5241,8094,36,401,99,7558,683,4361,2617,628,4486,3803,7945,130,40,15,2,157,2214,2066,53,113,13,106,361,0,1091,4722,74,384,242,242,231,2,6,4,8,7,6,146,825,37,443,172,827,287,12732,5442,6092,1109,88,0,0,1,0,0,27,25,5,0,0,71.49,89.36,89.61,83.42,60.62,74.9,72.65,27.74,14.71,17.91,44.03,53.26,43.38,6.27,9.45,76.19,97.42,75.93,89.16,76.62,84.23,98.7,64.86,79.41,79.61,97.7,75.36,16.13,58.35,17.73,66.61,82.15,92.52,98.48,92.03
A94912,"Rio Grande Valley Health Alliance, LLC",Texas,Renewal,2,01/01/2013,1,0,0,01/01/2016,0,0,1,1,0,5193,0.118309816,0.02,8475934,8475934,6175625,1,0.9913,549,14086,14170,71641852,63165918,0,0,0.75,0.7435,74927,9718,14706,9634,77774,9031,14217,9704,73956,8504,14094,8658,77096,9125,12787,8781,12419,1.077,1.224,1.112,1.185,1.082,1.243,1.108,1.237,1.076,1.177,1.111,1.216,1.084,1.178,1.107,1.213,190,851,1905,2483,5086,165,748,1747,2427,869,1909,1669,746,2987,2206,3821,19,10,1217,4,122,4118,3088,502,568,34,469,700,3,2286,3690,333,1098,270,406,353,15,32,6,12,8,7,185,808,60,769,275,770,263,13092,7330,4323,1363,77,0,0,0,0,0,18,0,9,0,0,77.99,91.97,92.05,81.63,67.06,80.57,67.04,30.49,15.21,18.49,44.35,63.71,51.67,7.48,15.78,88.89,87.14,93.44,92.75,87.98,92.4,99.22,87.8,81.32,85.62,97.64,89.49,13.04,48,17.6,58,81.82,94.84,95.59,94.4
A64742,"Southern Maryland Integrated Care, LLC","Maryland, District of Columbia",Renewal,2,01/01/2013,1,0,0,01/01/2016,1,0,0,0,0,11856,0.046982411,0.028886177,6726563,6726563,3124453,1,0.9479,0,12377,12430,143171952,136445388,,,0.5,0.474,76062,13621,14573,9985,95794,13793,14000,10056,83248,13459,13772,10475,82757,13063,12490,10019,11795,0.988,1.273,1.011,1.137,1.019,1.273,1.015,1.16,1.07,1.182,0.95,1.123,0.996,1.206,0.937,1.135,204,1304,984,8613,11568,191,1340,1035,9001,1782,5428,3363,1283,7029,4827,4574,6402,345,141,12,382,3816,3702,28,103,15,155,799,0,2278,4445,106,426,175,296,287,1,6,2,14,11,7,178,809,66,723,242,790,370,11342,5709,5282,347,4,0,0,0,0,0,52,21,6,0,0,83.66,92.58,91.6,85,60.4,67.32,70.63,31.36,14.79,18.31,48.85,73.91,56.56,13.34,16.93,70.18,87.26,53,63.85,56.67,69.04,91.28,40.13,52.72,64.17,55.82,78.29,3.45,24.63,19.12,28.49,63.81,72.97,86.67,84.67
A18259,"KentuckyOne Health Partners, LLC",Kentucky,Renewal,2,01/01/2013,1,0,0,01/01/2016,1,0,0,0,0,25794,0.007242095,0.024420581,1552364,0,0,1,0.8647,157,8535,8425,214352910,212800546,,,0.5,0.4323,69243,8526,11781,7014,69642,8218,11893,7016,69278,8314,11867,7253,60977,8525,11306,7680,8473,1.028,1.057,0.999,1.055,0.999,1.065,1.026,1.081,1.035,1.06,1.021,1.072,0.997,1.057,1.012,1.06,158,4469,1548,18591,25115,203,4205,1529,19178,5236,11374,6638,2546,14668,11126,23649,1613,136,31,9,356,2610,2372,78,130,44,101,412,0,2080,2603,123,443,301,285,271,2,7,5,13,9,10,155,748,48,750,184,867,275,9087,3501,4139,1374,73,4,0,9,0,25,212,356,188,2,1,77.85,94.37,92.73,84.47,49.41,73,71.04,25.97,13.47,18.18,51.29,68.39,55.9,6.66,14.88,98.77,89.55,58.33,64.55,57.7,67.17,90.28,63.14,54.14,61.51,58.02,81.99,N/A,28.88,16.53,32.55,68.3,95.38,96.79,79.55
