ACO_Num,ACO_NAME,Start_Date,Track2,Adv_Pay,Int_Pmt,Adv_Pay_Amt,QualScore,QualPerfShare,FinalShareRate,MinLossPerc,MinSavPerc,ABtotBnchmk,ABtotExp,BnchmkMinExp,EarnShrSavings,OweLosses,N_AB,N_AB_Year,N_AB_Year_ESRD,N_AB_Year_DIS,N_AB_Year_AGED_Dual,N_AB_Year_AGED_NonDual,N_Ben_Age_0_64,N_Ben_Age_65_74,N_Ben_Age_75_84,N_Ben_Age_85plus,N_Ben_Female,N_Ben_Male,N_Ben_Race_White,N_Ben_Race_Black,N_Ben_Race_Asian,N_Ben_Race_Hisp,N_Ben_Race_Native,N_Ben_Race_Other,Per_Capita_Exp_ALL_ESRD,Per_Capita_Exp_ALL_DIS,Per_Capita_Exp_ALL_AGDU,Per_Capita_Exp_ALL_AGND,CapAnn_INP_All,CapAnn_INP_S_trm,CapAnn_INP_L_trm,CapAnn_INP_Rehab,CapAnn_INP_Psych,CapAnn_HSP,CapAnn_SNF,CapAnn_INP_Other,CapAnn_PB,CapAnn_AmbPay,CapAnn_HHA,CapAnn_DME,ADM,ADM_S_Trm,ADM_L_Trm,ADM_Rehab,ADM_Psych,chf_adm,copd_adm,pneu_adm,readm_Rate_1000,prov_Rate_1000,P_SNF_ADM,P_EDV_Vis,P_EDV_Vis_HOSP,P_CT_VIS,P_MRI_VIS,P_EM_Total,P_EM_PCP_Vis,P_EM_SP_Vis,P_Nurse_Vis,P_FQHC_RHC_Vis,N_CAH,N_FQHC,N_RHC,N_ETA,N_Fac_Other,N_PCP,N_Spec,N_NP,N_PA,N_CNS,CMS_HCC_RiskScore_ESRD_BY1,CMS_HCC_RiskScore_DIS_BY1,CMS_HCC_RiskScore_AGDU_BY1,CMS_HCC_RiskScore_AGND_BY1,CMS_HCC_RiskScore_ESRD_BY2,CMS_HCC_RiskScore_DIS_BY2,CMS_HCC_RiskScore_AGDU_BY2,CMS_HCC_RiskScore_AGND_BY2,CMS_HCC_RiskScore_ESRD_BY3,CMS_HCC_RiskScore_DIS_BY3,CMS_HCC_RiskScore_AGDU_BY3,CMS_HCC_RiskScore_AGND_BY3,CMS_HCC_RiskScore_ESRD_PY,CMS_HCC_RiskScore_DIS_PY,CMS_HCC_RiskScore_AGDU_PY,CMS_HCC_RiskScore_AGND_PY
A46707,"Premier ACO Physician Network, LLC",4/1/2012,0,0,0,,1,0.5,0.5,,0.029477896,190372822.6,187272975.9,3099846.713,0,,10870,8581.25,157,1335.916667,1511.333333,5577,1717,3454,2316,1351,5160,3678,6142,968,602,658,17,451,90720.23026,11103.75915,13878.32659,10707.2394,4299.673166,3411.145941,607.4633258,334.8127381,92.2568671,232.545955,1630.590179,0.332423365,4275.839589,257.9545604,862.0088412,306.7167053,356.1252731,316.5040058,15.96504006,15.4989075,8.040786599,11.18718136,8.739985433,9.20611799,160.3773585,761.0062893,98.12090313,687.778587,263.7144938,637.0866715,302.2869629,11674.40641,4836.591406,6640.1748,190.4151493,7.225054625,0,0,0,0,0,119,116,12,1,0,1.043248837,1.377661455,1.077567253,1.264299281,1.068545595,1.430286691,1.080947345,1.240882383,1.020385641,1.357259152,1.113349795,1.249652329,1.001237507,1.255506527,1.080172691,1.199887706
A28708,"Advocate Physician Partners Accountable Care, Inc.",7/1/2012,0,0,0,,1,0.5,0.5,,0.02,1971054550,1968199107,2855442.649,0,,139369,119924.6667,1402.583333,12745.5,4651,101125.5833,17811,54638,35103,15989,73438,50103,96747,19268,2344,2082,52,3048,84179.04501,10643.02762,15911.79403,9854.267358,3506.096728,3142.347178,95.91200807,219.6609257,95.64486015,299.5835091,1483.887698,0.023080499,3354.321072,146.6202878,833.6568802,243.693596,369.0869622,343.2626321,2.459857078,12.57445584,10.78167865,14.36723304,11.21528058,8.955547464,171.0340874,790.9371044,122.6342985,645.9834842,275.3038688,699.5083065,271.6516064,9685.816492,4577.527191,4402.043488,694.6469619,11.59885151,0,0,0,0,14,1172,1375,216,3,18,1.043013747,1.110678424,1.050058048,1.042401449,1.036823607,1.123516152,1.036596092,1.039759549,1.040664273,1.123255565,1.05123161,1.048614212,1.032809805,1.13800807,1.056248425,1.055684301
A04423,"Catholic Medical Partners-Accountable Care IPA, Inc.",4/1/2012,0,0,0,,1,0.5,0.5,,0.023674656,397492201.8,369569629.3,27922572.44,13682060.5,,33253,25585.5,230.5833333,5979.916667,1226.75,18148.25,7250,9290,6414,3507,14555,11906,23568,2053,150,100,45,545,66085.67911,6654.683537,9307.973279,7246.316,2450.811478,2243.34761,3.850176018,136.7406055,75.33670706,129.2529061,630.6631903,0,2580.587359,87.93580381,437.2912653,253.7449121,273.318872,257.4505091,0.039084638,7.465165817,8.364112486,14.18772352,7.738758281,6.87889625,123.5574704,797.353439,64.80232944,627.034844,201.3249692,776.1036525,240.6441148,8951.007407,3526.411444,3936.331125,1483.887358,4.377479432,0,0,0,0,9,311,828,204,8,0,1.072821409,0.979738348,1.051894381,1.110685889,1.059775129,0.994177935,1.033124551,1.095549559,1.050530415,0.972328447,1.037570228,1.107266492,1.016576168,0.981631143,0.956166871,1.076030095
A84936,"Physicians of Cape Cod ACO, Inc.",4/1/2012,1,0,1,,1,0.6,0.6,-0.02,0.02,77975177.97,79231731.26,-1256553.285,0,0,5800,4251.333333,14.08333333,223.75,73.91666667,3939.583333,389,1763,1453,804,2416,1993,4247,52,9,6,4,91,93259.68114,8263.409709,18395.80431,9914.831409,3086.003133,2788.571694,48.39974667,200.2339294,86.063318,887.1222221,1131.659507,0,3006.877634,178.3586247,662.8106076,185.6418079,250.9800847,232.8681198,2.116982907,9.879253568,6.115728399,9.879253568,2.822643876,4.704406461,126.6331658,822.1105528,98.79253568,554.884742,192.4102242,525.2469813,239.2190685,9181.119649,4135.173279,4251.372119,775.9918457,18.58240552,0,0,0,0,0,10,62,10,0,0,0.981950533,0.985124551,1.050553849,1.004531514,0.924848127,1.049384347,0.970668152,1.031097052,1.07564867,1.028864835,1.113925359,1.031043135,1.033456836,1.025341637,1.049127455,1.061294527
A85439,"RGV ACO Health Providers, LLC",4/1/2012,1,1,1,1792996,1,0.6,0.6,-0.02,0.02,140825861.3,120586479.9,20239381.44,11900756.29,0,7089,5766,169.6666667,849.4166667,2373.083333,2373.833333,1110,2256,1889,677,3460,2472,4351,14,14,1460,5,88,70290.40142,8656.356054,11734.69136,9029.143532,3855.463554,2736.290537,426.4735965,751.9353877,27.77516696,363.1009685,447.3031006,1.870922806,3656.711538,270.2954911,1311.266684,366.4051083,343.8529565,274.3194035,11.96462632,52.54031559,5.028611063,13.17842899,5.028611063,6.936015259,127.9069767,774.4186047,39.88208774,609.3289405,213.1090688,655.8002428,275.5332062,13031.21207,8444.945379,4167.851569,351.4825733,66.93254725,0,0,0,0,0,23,4,5,0,0,1.087741218,1.29183018,1.142601901,1.193960545,1.056407876,1.254176125,1.14515369,1.162698051,1.053356119,1.227294014,1.138255211,1.241784936,1.053527744,1.173773819,1.091837581,1.17026257
A15929,"West Florida ACO, LLC",4/1/2012,0,0,0,,1,0.5,0.5,,0.029806761,186054154.6,177952497.9,8101656.667,3969811.767,,10322,8205.833333,63.41666667,861.75,348.0833333,6932.583333,1139,3065,2736,1535,5054,3421,8064,163,66,53,8,121,87977.00536,11290.25853,15681.32329,11084.01224,3310.207071,2952.661348,161.1087586,210.4891462,49.52877103,435.01529,1369.793016,0,4473.870122,127.8787748,1080.370518,288.5233996,398.3751396,372.6617244,4.508987509,13.03950442,8.164923327,13.16136895,16.20798213,7.799329745,145.9074733,790.682627,116.6243526,652.0970854,305.7580989,786.6355235,344.7547476,11739.08805,5303.544227,5789.052503,628.6990962,17.79222098,0,0,0,0,0,94,7,20,0,0,1.051881639,1.367868473,1.168556236,1.27945463,1.089669933,1.33548185,1.244111279,1.321339759,1.033653397,1.293638621,1.215874922,1.340779105,1.104238041,1.320703857,1.204957385,1.329643613
A64206,"Crystal Run Healthcare ACO, LLC",4/1/2012,0,0,0,,1,0.5,0.5,,0.028235047,208622533.3,207666071.9,956461.4106,0,,12941,10506.41667,100.4166667,2238.25,574.5833333,7593.166667,2811,4391,2503,1263,6321,4647,9658,747,62,242,8,251,89058.85628,9230.813606,15468.6737,10802.79154,4199.383366,3678.656685,36.67910376,334.1518836,165.9141485,132.9417995,1645.886349,0,3750.128158,196.9115891,302.4534442,297.0433942,352.6416396,317.3298857,1.903598595,18.94080602,14.46734932,15.79986833,7.995114097,9.898712692,170.9326272,829.0673728,116.8809537,710.8988951,262.791786,770.4815311,235.665506,12237.28357,3579.431617,7621.437693,1021.756546,14.65770918,0,0,0,0,0,76,175,16,0,0,1.121333887,1.011440798,1.085499452,1.177403705,1.102915181,1.029195935,1.08429648,1.16242205,1.061807809,1.027370054,1.17467994,1.150438374,1.071906661,0.993634616,1.049679538,1.116067367
A14269,"Dean Clinic and St. Mary's Hospital Accountable Care Organization, LLC",7/1/2012,1,0,0,,1,0.6,0.6,-0.02,0.02,197934064.8,207900445.1,-9966380.3,0,-3986552.12,20979,18088.58333,103.5833333,2820.5,546.6666667,14617.83333,3701,7965,4628,2379,10641,8032,17645,433,145,66,37,347,71300.60032,7125.68702,9827.885215,7281.494921,2517.447079,2359.925284,63.07412231,39.63353579,74.06800784,473.2875465,878.5515801,1.270129317,2245.478293,108.7480945,319.5786222,198.3457653,281.6693771,268.3460562,1.713788163,2.432473522,9.121775706,11.77538318,10.00631153,10.00631153,146.4270962,770.9624122,73.36119007,646.4851218,190.0093521,542.6074458,221.6315079,7223.50654,3068.841765,2863.518886,1287.05491,4.090978195,0,0,0,0,1,194,542,52,1,2,0.953173014,0.992437367,0.937779443,0.924759809,0.955096026,0.965054704,0.920442934,0.91974015,0.98928876,0.962287538,0.897929783,0.929609127,0.953399287,0.957843147,0.92901874,0.908974003
A09903,"Jackson Purchase Medical Associates, PSC",4/1/2012,0,1,0,1715884,1,0.5,0.5,,0.035725726,86534813.77,80797046.19,5737767.578,2811506.113,,6137,5196.916667,31,608.8333333,169.75,4387.333333,807,2115,1659,785,3174,2192,5095,231,2,2,4,32,59876.00926,7656.059325,13843.51341,8266.029523,2820.242394,2550.003448,0,220.9147556,51.38766308,178.2590109,786.8031772,0,2765.215818,103.447923,447.8358226,282.5410588,347.1289066,331.3503199,0,12.50741626,3.271170406,14.04679057,9.813511217,15.58616487,133.0998249,803.8528897,90.24581884,543.5915527,207.0458445,649.6159582,234.5621603,9950.51553,4105.318859,3527.091384,2290.973815,27.13147219,0,0,0,0,0,14,9,11,0,0,1.016352023,1.124319069,1.146963422,1.077464015,1.019884649,1.103118872,1.145853885,1.064521814,1.027687286,1.098197741,1.12300867,1.088485559,0.973374379,1.117164837,1.08261856,1.116272783
A86333,"Accountable Healthcare Alliance, PC",7/1/2012,0,0,0,,0,0.5,0,,0.034992993,89128046.66,87126445.67,2001600.984,0,,6503,5566.083333,36.83333333,829.75,171.25,4528.25,1046,2129,1671,909,3376,2379,5389,248,17,24,4,73,70442.00023,7578.303958,16995.64397,10068.92602,3648.296225,3191.821005,74.15396306,368.7424573,56.68333521,158.9988031,1083.954169,0.415858848,3190.430174,134.3556903,560.7129538,205.8890709,408.9051248,374.9494708,2.155914542,21.91846451,9.701615439,12.57616816,18.50493315,10.95923226,153.2407407,781.9444444,98.99240938,725.2855838,320.332969,741.9939215,187.3849056,10020.87045,5844.145345,3772.670789,394.8916803,9.162636803,0,0,0,0,0,31,25,2,0,0,1.057549892,1.132683037,1.080726686,1.161779367,1.173910981,1.137414428,1.135429942,1.159287188,1.04960728,1.127214496,1.156679862,1.178543413,1.054240668,1.140744186,1.192848326,1.171895337
A76034,"Coastal Carolina Quality Care, Inc.",4/1/2012,0,1,0,3083992,1,0.5,0.5,,0.028238048,171531054.5,172517722.6,-986668.1328,0,,12936,11401.58333,93.58333333,1035.916667,479.25,9792.833333,1539,5486,3441,1260,6691,5035,9928,1649,20,9,6,114,67403.48962,8934.737428,13020.40845,8030.722063,2868.539066,2710.8971,7.102559331,136.0385535,26.53479798,186.3780407,349.8761122,0,3461.547532,91.98058888,248.8560341,287.9996224,254.6137598,244.4397343,0.350828467,8.332176087,1.491020984,10.17402554,2.982041968,5.964083936,118.3068017,785.0940666,42.18712313,550.4498644,180.6766604,861.8978358,431.8698426,10514.76769,4349.395917,4554.279742,1604.952529,6.139498169,0,0,0,0,0,26,26,12,0,0,0.999585655,1.054834233,1.102970014,0.912984976,0.99163397,1.054558812,1.081095256,0.925638896,0.977023991,1.052317767,1.103657062,0.939509984,1.004180797,1.099174132,1.1170139,0.965976367
A05657,Quality Independent Physicians,7/1/2012,0,1,0,2933104,1,0.5,0.5,,0.02765113,207732696.8,206443320.9,1289375.921,0,,13914,11545.25,132.5,2084.916667,682.5,8645.333333,2574,4563,3260,1630,7019,5008,9952,1869,39,17,7,143,75676.36645,11027.21553,18068.30897,10393.12346,4061.008778,3567.712431,204.418984,183.9629005,197.3778419,229.6816869,1689.30057,0,3116.838192,243.834605,557.5191174,376.7283868,453.173383,417.4010957,4.590632511,11.51988913,19.66176566,19.22868712,14.98451744,18.88222429,176.1058289,805.2914427,180.0740564,862.2593707,312.682705,902.3624434,310.3440809,11128.90583,5036.270328,4061.583768,2016.933371,14.11836037,0,0,0,0,0,60,3,32,0,0,1.061034635,1.229392601,1.260621065,1.137338267,1.056455639,1.184737939,1.217509427,1.117329984,1.050594914,1.206261804,1.119791711,1.115373637,1.095078302,1.239037964,1.338933237,1.140244653
A34299,Jordan Community ACO,4/1/2012,0,0,1,,1,0.5,0.5,,0.033273273,118415847.9,122647003.7,-4231155.796,0,,7363,5937.583333,28.41666667,743.9166667,232.5833333,4932.666667,998,2806,1544,811,3415,2744,5922,82,14,16,6,119,96943.96097,11533.35771,18152.19234,11460.63432,4241.710496,3552.953082,205.1205409,272.2307492,272.0699548,535.5781927,1221.738728,0,2963.313781,282.55235,825.5702947,227.6086513,362.2685997,321.006021,5.557816732,11.28405215,24.42070989,15.49451938,16.6734502,11.62088953,149.5859213,800.7246377,125.8087606,903.3978471,274.0172068,697.2533719,272.6698573,9862.935257,3461.340894,5109.654601,1286.045108,5.89465411,0,0,0,0,1,71,249,37,0,3,1.117239222,1.187037267,1.00025849,1.067217206,1.038658743,1.08509346,0.955252791,1.058647562,1.001869613,1.114043627,0.946880973,1.048210355,1.065719629,1.069321577,0.979922177,1.057302117
A67604,"AppleCare Medical ACO, LLC",4/1/2012,0,0,0,,1,0.5,0.5,,0.03066967,186341098.4,187495584.2,-1154485.809,0,,9330,6994.916667,265.3333333,1288,2332.083333,3109.5,1686,2527,1996,1024,4169,3064,4302,742,399,1393,15,382,85492.76843,13646.09333,13689.18459,10933.00315,5311.303367,4093.013601,947.0975454,131.7346639,322.5432198,450.0650763,1974.194282,0,4219.806898,380.9731852,1119.020599,347.5191012,430.7413717,372.4133001,27.16258235,5.43251647,25.73297275,11.57983774,9.435423343,10.57911102,180.3459698,721.3838793,122.2316206,764.6981737,335.1004896,556.2610944,228.7375356,11330.08494,4733.86626,5903.429872,683.9252314,8.863579504,0,0,0,0,0,122,199,16,1,0,1.011365419,1.292970359,1.071186068,1.198951361,1.015565679,1.30187994,1.071075242,1.17407728,1.007662177,1.303282314,1.050808833,1.149447259,1.022201658,1.335406282,1.099521855,1.182771974
A53334,"Physicians Healthcare Collaborative, LLC",1/1/2013,0,0,,,1,0.5,0.5,,0.028457091,94290321.09,93759988.93,"530,332",0,,12571,12250.5,91.33333333,1462.083333,359.5833333,10337.5,2123,6560,3047,841,7140,5431,10623,1705,35,13,15,180,61150.31025,8044.387401,10455.42904,7028.175525,2224.059095,2105.935281,20.03575583,81.4582334,37.7415812,167.6718298,266.933328,0.310304379,3168.09573,50.59200364,334.8320323,298.8436352,239.8889932,228.1353304,0.326490634,4.73411419,6.611435334,10.44770028,5.468718116,7.91739787,125.4007838,750.2671892,33.62853528,492.0213851,153.8587112,621.5565441,302.0038363,9727.951679,3559.482512,4277.680284,1882.463372,8.325511162,0,0,0,0,0,48,93,26,1,0,0.988121369,1.100296055,1.064125948,0.930788033,0.975023512,1.044637618,1.049487881,0.909929942,0.991100102,1.027674387,1.037094152,0.91089385,0.955844915,1.061858972,1.000716234,0.901336259
