ACO_Num,ACO_Name,ACO_State,Start_Date,Track1,Track2,Adv_Pay,N_AB,Sav_rate,MinSavPerc,BnchmkMinExp,GenSaveLoss,EarnSaveLoss,QualScore,UpdatedBnchmk,HistBnchmk,ABtotBnchmk,ABtotExp,Adv_Pay_Amt,Adv_Pay_Recoup,QualPerfShare,FinalShareRate,Per_Capita_Exp_ALL_ESRD_BY1,Per_Capita_Exp_ALL_DIS_BY1,Per_Capita_Exp_ALL_AGDU_BY1,Per_Capita_Exp_ALL_AGND_BY1,Per_Capita_Exp_ALL_ESRD_BY2,Per_Capita_Exp_ALL_DIS_BY2,Per_Capita_Exp_ALL_AGDU_BY2,Per_Capita_Exp_ALL_AGND_BY2,Per_Capita_Exp_ALL_ESRD_BY3,Per_Capita_Exp_ALL_DIS_BY3,Per_Capita_Exp_ALL_AGDU_BY3,Per_Capita_Exp_ALL_AGND_BY3,Per_Capita_Exp_ALL_ESRD_PY,Per_Capita_Exp_ALL_DIS_PY,Per_Capita_Exp_ALL_AGDU_PY,Per_Capita_Exp_ALL_AGND_PY,Per_Capita_Exp_TOTAL_PY,CMS_HCC_RiskScore_ESRD_BY1,CMS_HCC_RiskScore_DIS_BY1,CMS_HCC_RiskScore_AGDU_BY1,CMS_HCC_RiskScore_AGND_BY1,CMS_HCC_RiskScore_ESRD_BY2,CMS_HCC_RiskScore_DIS_BY2,CMS_HCC_RiskScore_AGDU_BY2,CMS_HCC_RiskScore_AGND_BY2,CMS_HCC_RiskScore_ESRD_BY3,CMS_HCC_RiskScore_DIS_BY3,CMS_HCC_RiskScore_AGDU_BY3,CMS_HCC_RiskScore_AGND_BY3,CMS_HCC_RiskScore_ESRD_PY,CMS_HCC_RiskScore_DIS_PY,CMS_HCC_RiskScore_AGDU_PY,CMS_HCC_RiskScore_AGND_PY,N_AB_Year_ESRD_BY3,N_AB_Year_DIS_BY3,N_AB_Year_AGED_Dual_BY3,N_AB_Year_AGED_NonDual_BY3,N_AB_Year_PY,N_AB_Year_ESRD_PY,N_AB_Year_DIS_PY,N_AB_Year_AGED_Dual_PY,N_AB_Year_AGED_NonDual_PY,N_Ben_Age_0_64,N_Ben_Age_65_74,N_Ben_Age_75_84,N_Ben_Age_85plus,N_Ben_Female,N_Ben_Male,N_Ben_Race_White,N_Ben_Race_Black,N_Ben_Race_Asian,N_Ben_Race_Hisp,N_Ben_Race_Native,N_Ben_Race_Other,CapAnn_INP_All,CapAnn_INP_S_trm,CapAnn_INP_L_trm,CapAnn_INP_Rehab,CapAnn_INP_Psych,CapAnn_HSP,CapAnn_SNF,CapAnn_INP_Other,CapAnn_OPD,CapAnn_PB,CapAnn_AmbPay,CapAnn_HHA,CapAnn_DME,ADM,ADM_S_Trm,ADM_L_Trm,ADM_Rehab,ADM_Psych,chf_adm,copd_adm,pneu_adm,readm_Rate_1000,prov_Rate_1000,P_SNF_ADM,P_EDV_Vis,P_EDV_Vis_HOSP,P_CT_VIS,P_MRI_VIS,P_EM_Total,P_EM_PCP_Vis,P_EM_SP_Vis,P_Nurse_Vis,P_FQHC_RHC_Vis,N_CAH,N_FQHC,N_RHC,N_ETA,N_Fac_Other,N_PCP,N_Spec,N_NP,N_PA,N_CNS
A04423,"Catholic Medical Partners-Accountable Care IPA, Inc. ",New York ,4/1/2012,1,0,0,"25,569",-4.84%,2.44%,"-10,081,185",0,0,87.75%,"8,398","7,881","208,078,897","218,160,083",  ,  ,50.00%,43.87%,"58,209","6,444","8,823","6,976","58,530","6,251","9,819","7,189","63,501","6,511","9,397","7,564","70,557","7,905","9,225","8,214","8,804",1.043,0.942,0.973,1.061,1.030,0.968,0.983,1.055,1.031,0.948,0.984,1.073,1.050,0.984,0.951,1.096,241,5905,1157,18552,24778,244,5543,1155,17837,6543,9651,6001,3374,14028,11541,22794,1845,140,111,46,633,2628,2413,7,146,68,145,703,0,1729,2887,86,563,229,271,256,0,8,7,13,11,6,150,819,68,659,196,822,263,9115,3407,3885,1821,2,0,0,0,0,10,310,857,245,6,0
A85439,"RGV ACO Health Providers, LLC ",Texas ,4/1/2012,0,1,1,"9,959",17.47%,2.00%,"21,613,110","21,613,110","12,619,152",99.30%,"12,782","12,671","123,683,230","102,070,120",0,0,60.00%,59.58%,"88,609","10,131","17,030","9,577","80,800","11,375","15,799","9,273","81,809","10,965","14,091","9,381","72,976","8,574","11,954","8,419","10,548",1.057,1.142,1.096,1.056,1.025,1.137,1.091,1.069,1.033,1.144,1.102,1.106,1.032,1.139,1.102,1.094,204,1368,2886,6227,9677,214,1097,1880,6485,1510,4174,3072,1203,5752,4207,8173,110,30,1467,6,173,3408,2491,356,575,24,218,389,13,1764,3669,221,954,268,335,285,11,36,3,13,6,6,160,808,37,608,206,676,283,12124,6537,4740,793,53,0,0,0,0,0,33,4,9,0,0
A15929,"West Florida ACO, LLC ",Florida ,4/1/2012,1,0,0,"18,307",8.97%,2.57%,"21,388,840","21,388,840","9,842,767",93.91%,"13,421","13,238","238,443,287","217,054,447",  ,  ,50.00%,46.96%,"78,065","11,838","17,704","11,234","77,542","12,066","17,932","12,001","92,458","12,365","17,993","12,238","75,647","11,466","16,096","11,545","12,217",1.052,1.364,1.186,1.287,1.085,1.350,1.221,1.309,1.081,1.316,1.211,1.347,1.103,1.287,1.198,1.334,134,2333,965,14033,17766,128,2047,852,14739,2533,7044,5554,3176,10626,7681,16981,582,188,172,6,378,3565,3118,92,296,86,331,1363,0,1307,4584,146,1008,259,435,404,3,16,12,14,21,7,195,807,121,751,340,923,331,12110,5488,5786,790,45,0,0,0,0,0,102,6,20,0,0
A64206,"Crystal Run Healthcare ACO, LLC ","New York, Pennsylvania ",4/1/2012,1,0,0,"14,770",-1.24%,2.71%,"-2,127,477",0,0,87.40%,"12,023","11,991","171,059,789","173,187,266",  ,  ,50.00%,43.70%,"101,556","8,646","14,855","12,055","112,696","9,028","17,529","11,170","92,401","8,055","17,033","11,509","91,639","10,187","14,617","11,675","12,172",1.121,1.011,1.085,1.177,1.103,1.029,1.084,1.162,1.062,1.027,1.175,1.150,1.081,1.025,1.054,1.113,89,2116,487,6756,14228,111,2612,721,10785,3252,6404,3452,1662,8328,6442,12876,988,115,305,14,472,4506,4043,65,339,95,140,1602,0,1743,3971,186,371,265,351,325,2,16,8,15,10,11,198,843,96,715,275,791,255,11751,3380,7283,1065,24,0,0,0,0,0,83,181,22,0,0
A09903,"Jackson Purchase Medical Associates, PSC ","Illinois, Kentucky ",4/1/2012,1,0,1,"4,566",11.02%,4.14%,"4,627,517","4,627,517","1,976,694",87.18%,"9,449","9,428","41,991,362","37,363,845",0,0,50.00%,43.59%,"64,173","8,881","16,890","8,185","74,802","8,333","15,303","8,956","69,558","8,076","14,390","8,739","53,329","8,248","11,998","8,119","8,408",1.016,1.124,1.147,1.077,1.020,1.103,1.146,1.065,1.028,1.098,1.123,1.088,1.080,1.112,0.975,1.068,35,667,186,4755,4444,17,469,123,3835,601,1867,1425,673,2738,1828,4334,194,3,0,4,31,2487,2245,5,203,34,149,904,0,1462,2745,107,429,277,300,284,0,12,3,17,12,9,159,833,74,544,192,667,219,9394,3518,3337,2509,30,0,0,0,0,0,11,7,12,0,0
A86333,"Accountable Healthcare Alliance, PC ",Michigan ,7/1/2012,1,0,0,"6,787",1.80%,3.44%,"1,249,404",0,0,87.19%,"10,561","10,158","69,548,764","68,299,360",  ,  ,50.00%,43.60%,"76,234","9,083","12,780","9,134","78,737","9,528","13,174","9,546","87,555","9,362","12,219","9,367","69,799","8,173","14,247","10,139","10,371",1.044,1.094,1.042,1.106,1.120,1.107,1.092,1.125,1.072,1.104,1.063,1.147,1.048,1.084,1.144,1.166,45,958,197,5658,6586,45,946,170,5424,1169,2646,1840,1132,3901,2886,6408,201,21,27,9,121,3424,2988,98,247,106,202,1145,1,1836,3112,129,576,192,401,370,3,14,14,15,22,10,171,832,102,735,297,738,205,9795,5454,3639,692,9,0,0,0,0,0,26,20,5,0,0
A76034,"Coastal Carolina Quality Care, Inc. ",North Carolina ,4/1/2012,1,0,1,"11,573",-1.03%,2.91%,"-1,043,371",0,0,97.70%,"8,949","8,764","100,884,806","101,928,177","3,083,992",0,50.00%,48.85%,"75,994","8,020","13,386","7,254","80,131","8,851","15,462","7,573","72,807","9,146","13,451","7,709","63,090","9,438","10,962","8,492","9,042",1.000,1.055,1.103,0.913,0.992,1.055,1.081,0.926,0.977,1.052,1.104,0.940,1.013,1.111,1.107,1.047,93,1041,502,9264,11273,79,970,396,9829,1323,5676,3295,1279,6514,5059,9853,1520,25,14,5,156,2825,2676,11,136,10,173,361,0,1503,3736,78,243,267,239,230,0,7,1,10,7,4,137,803,40,548,162,1040,444,11122,4314,4812,1990,5,0,0,0,0,0,26,25,12,0,0
A05657,"Quality Independent Physicians, LLC","Indiana, Kentucky ",7/1/2012,1,0,1,"11,591",3.37%,2.90%,"4,179,176","4,179,176","1,918,442",93.68%,"11,022","10,129","123,860,610","119,681,434",0,0,50.00%,46.84%,"87,357","9,573","17,326","9,352","82,090","9,757","14,818","9,124","76,594","9,997","17,792","9,028","72,869","11,139","15,872","9,512","10,650",1.039,1.167,1.192,1.079,1.035,1.171,1.193,1.077,1.049,1.156,1.072,1.067,1.059,1.229,1.190,1.098,107,1584,358,9775,11238,113,1511,502,9113,1903,4885,3200,1603,6496,5095,9776,1528,38,25,4,220,3471,3043,174,212,88,167,1214,0,2019,3109,186,508,343,374,348,5,12,9,16,13,12,165,818,125,729,258,841,290,10757,4983,3915,1845,14,0,0,0,0,0,48,1,22,0,0
A67604,"AppleCare Medical ACO, LLC ",California ,4/1/2012,1,0,0,"7,767",2.52%,3.25%,"3,340,407",0,0,74.11%,"17,712","16,577","132,430,353","129,089,947",  ,  ,50.00%,37.06%,"89,359","13,374","15,244","12,129","86,107","12,781","14,402","11,958","99,132","14,206","16,026","12,438","85,103","15,042","17,872","12,479","17,266",1.020,1.310,1.069,1.181,1.017,1.288,1.088,1.196,1.044,1.327,1.082,1.181,1.035,1.364,1.177,1.203,348,1964,3789,4358,7477,315,1252,1805,4106,1701,2778,2057,1231,4358,3409,4951,665,385,1323,18,425,6073,4763,1028,227,238,532,2548,1,2861,4451,297,1175,334,491,432,27,9,22,21,13,10,201,748,153,840,362,637,256,11427,4805,6082,526,13,0,1,0,0,0,113,138,21,2,1
A53334,"Physicians Healthcare Collaborative, LLC ",North Carolina ,1/1/2013,1,0,0,"13,548",0.45%,2.79%,"479,019",0,0,98.06%,"7,971","7,709","105,481,761","105,002,742",  ,  ,50.00%,49.03%,"69,446","8,731","19,178","7,113","62,552","8,268","18,480","7,067","63,507","7,763","9,568","6,972","62,939","8,229","13,054","7,308","7,935",0.988,1.100,1.064,0.931,0.975,1.045,1.049,0.910,0.991,1.028,1.037,0.911,0.985,1.059,1.034,0.891,83,1454,359,9718,13233,90,1442,338,11363,2023,7304,3322,899,7488,6060,11577,1627,34,23,16,271,2363,2205,5,128,31,163,278,0,1382,3188,44,340,291,232,221,0,7,4,10,7,6,140,786,32,498,144,659,296,9425,3156,4136,2121,12,0,0,0,0,0,52,83,28,1,0
A51279,"Optimus Healthcare Partners, LLC ",New Jersey ,4/1/2012,1,0,0,"24,436",3.51%,2.46%,"9,749,131","9,749,131","4,173,290",87.36%,"11,685","11,552","277,811,973","268,062,843",  ,  ,50.00%,43.68%,"104,248","10,248","17,724","9,301","108,432","10,392","16,589","10,004","104,228","10,956","16,274","10,195","99,957","11,470","16,405","9,670","11,275",1.125,1.197,1.201,1.083,1.072,1.179,1.198,1.073,1.079,1.137,1.157,1.074,1.060,1.119,1.156,1.035,202,2233,2010,19117,23775,214,2330,2177,19054,3106,10704,6932,3694,14682,9754,18562,3020,551,1385,19,899,3281,2853,158,212,111,221,1453,0,1765,4273,118,383,188,295,271,4,11,9,11,9,6,166,834,104,583,228,676,273,11915,5292,6105,511,6,0,0,0,0,11,130,44,14,2,0
A34178,MissionPoint Health Partners ,Tennessee ,7/1/2012,1,0,0,"32,937",2.56%,2.37%,"7,920,593","7,920,593","3,373,351",86.92%,"9,714","9,536","310,000,930","302,080,337",  ,  ,50.00%,43.46%,"72,691","8,245","13,467","8,172","71,023","8,230","13,598","8,573","69,601","8,607","15,207","8,927","67,639","9,798","14,943","8,741","9,466",0.983,1.133,1.075,0.984,0.990,1.125,1.062,1.000,1.001,1.105,1.090,1.016,0.953,1.159,1.107,1.015,206,3416,1021,23254,31913,221,3966,960,26766,5304,14933,8917,3783,19154,13783,29166,3051,106,63,16,535,2915,2528,84,186,150,224,889,0,1543,3123,146,634,267,332,305,2,10,15,16,14,11,171,757,84,700,214,804,334,9296,3448,4256,1492,100,1,3,3,0,9,277,265,152,2,1
A24802,New Health Collaborative,Ohio ,7/1/2012,1,0,0,"27,205",2.55%,2.43%,"6,571,919","6,571,919","3,060,189",95.03%,"9,817","9,795","257,836,443","251,264,524",  ,  ,50.00%,47.51%,"68,631","8,980","14,383","8,576","71,976","8,674","13,790","8,814","66,764","8,766","11,384","8,963","73,306","9,047","10,899","8,920","9,567",0.993,1.169,1.161,1.100,1.024,1.186,1.158,1.112,0.993,1.153,1.135,1.120,1.052,1.121,1.059,1.094,292,4672,1008,19277,26265,232,4642,730,20660,5870,11135,6566,3634,15309,11896,24649,1880,111,32,11,522,3088,2612,128,293,81,311,909,2,2035,2650,137,420,241,363,326,4,20,13,16,13,9,178,783,83,889,252,701,211,9266,4253,3915,1092,6,0,0,0,0,11,287,362,100,0,11
A01714,Essentia Health ,"Minnesota, North Dakota, Wisconsin ",7/1/2012,1,0,0,"31,447",-6.26%,2.39%,"-18,366,717",0,0,91.06%,"9,623","9,003","293,494,739","311,861,456",  ,  ,50.00%,45.53%,"74,255","8,081","11,412","7,941","71,848","8,444","11,449","8,235","75,571","8,582","11,735","8,520","83,849","9,856","13,971","9,518","10,226",1.006,1.011,0.949,0.978,1.028,1.027,0.952,0.989,1.004,1.015,0.965,0.994,1.037,1.049,1.028,1.060,216,6949,960,27374,30498,201,6886,961,22449,7933,10962,7957,4595,17133,14314,30054,198,58,37,683,417,3465,3218,44,131,97,255,958,0,3289,1926,127,212,285,321,305,1,6,9,12,8,11,159,780,81,875,154,647,225,8037,3328,2525,1940,244,17,0,15,0,39,408,1249,408,1,14
A33196,"Allcare Options, LLC ",Florida ,7/1/2012,1,0,0,"8,346",12.17%,3.17%,"15,843,163","15,843,163","7,258,545",93.50%,"16,386","15,556","130,147,305","114,304,142",  ,  ,50.00%,46.75%,"84,128","12,421","17,802","13,341","83,618","13,695","17,923","14,101","91,203","13,609","17,808","14,176","82,308","12,965","17,802","12,285","14,392",1.118,1.336,1.179,1.239,1.109,1.365,1.187,1.254,1.102,1.358,1.136,1.274,1.083,1.342,1.171,1.271,101,2145,1073,4605,7942,143,1717,1010,5073,2106,3013,2002,1225,4792,3554,6552,1254,78,285,6,171,4360,3571,403,233,240,590,1938,5,2366,4330,245,868,310,484,431,10,12,30,14,22,14,208,761,158,1074,378,971,288,12140,3827,4556,2067,1690,0,31,0,0,0,79,366,79,0,0
A05273,"Accountable Care Coalition of Texas, Inc. ",Texas ,4/1/2012,1,0,0,"20,014",4.64%,2.50%,"10,122,154","10,122,154","4,533,923",91.41%,"11,161","10,835","217,930,552","207,808,397",  ,  ,50.00%,45.71%,"88,486","11,715","13,467","8,906","88,281","11,695","14,512","8,773","83,683","11,567","13,930","8,794","86,576","11,439","13,997","8,840","10,643",1.005,1.210,1.009,1.065,1.003,1.201,1.004,1.056,1.030,1.174,1.021,1.062,1.026,1.233,1.072,1.070,315,2424,1825,16721,19526,327,1927,931,16341,2748,9617,5490,2159,11420,8594,15985,2214,440,808,22,545,3419,2495,495,441,60,127,346,1,1751,3819,117,1136,234,306,260,15,23,8,13,11,7,159,728,30,562,195,743,313,9535,3847,5138,543,8,0,0,0,0,0,107,57,10,0,0
A65596,"Integrated Care Alliance, LLC ",Florida ,7/1/2012,1,0,0,"7,033",1.27%,3.39%,"926,024",0,0,99.11%,"10,724","10,348","73,077,229","72,151,204",  ,  ,50.00%,49.55%,"88,699","8,342","14,778","8,769","75,101","7,883","17,112","9,135","75,090","7,591","17,551","9,672","94,283","9,091","13,811","9,607","10,588",1.029,1.049,1.096,1.009,1.002,1.076,1.046,1.026,1.066,1.080,1.065,1.012,1.020,1.031,1.041,1.025,67,1167,463,5702,6814,69,1032,334,5380,1341,3250,1824,618,3974,3059,6083,698,40,93,3,116,3101,2715,149,202,52,247,940,0,1243,4217,107,627,313,353,331,4,11,7,15,12,9,199,804,82,636,263,959,360,11361,4321,6403,585,53,0,0,0,0,0,27,55,17,0,0
